,983 HK Equity
,GHG_SCOPE_1
2012-12-31,0.657
2013-12-31,0.805
2014-12-31,1.277
2015-12-31,2.259
2016-12-31,1.689
2017-12-31,2.8
2018-12-31,2.029
2019-12-31,0.588
2020-12-31,2.195
2021-12-31,2.883
