,BPCL IN Equity
,GHG_SCOPE_1
2012-03-31,4281.1
2013-03-31,4173.88
2014-03-31,4081.1
2015-03-31,3671.08
2016-03-31,3900.79
2017-03-31,3924.24
2018-03-31,5129.4
2019-03-31,5023.58
2020-03-31,3505.95
2021-03-31,5040.62
