,388 HK Equity
,GHG_SCOPE_1
2011-12-31,1.1
2012-12-31,1.016
2013-12-31,0.116
2014-12-31,0.036
2015-12-31,0.052
2016-12-31,0.038
2017-12-31,0.085
2018-12-31,0.038
2019-12-31,0.033
2020-12-31,0.166
2021-12-31,0.102
