,105560 KS Equity
,GHG_SCOPE_1
2012-12-31,19.449
2013-12-31,18.588
2014-12-31,17.3
2015-12-31,23.561
2016-12-31,21.513
2017-12-31,19.179
2018-12-31,19.021
2019-12-31,18.98
2020-12-31,17.861
2021-12-31,15.649
