,MEL NZ Equity
,GHG_SCOPE_1
2013-06-30,1.076
2014-06-30,1.677
2015-06-30,1.164
2016-06-30,1.08
2017-06-30,1.308
2018-06-30,1.628
2019-06-30,1.099
2020-06-30,1.177
2021-06-30,1.376
2022-06-30,0.792
