,8604 JP Equity
,GHG_SCOPE_1
2012-03-31,3.748
2013-03-31,3.641
2014-03-31,3.085
2015-03-31,3.116
2016-03-31,2.979
2017-03-31,3.022
2018-03-31,2.992
2019-03-31,2.859
2020-03-31,2.814
2021-03-31,2.152
2022-03-31,1.924
