,2449 TT Equity
,GHG_SCOPE_1
2013-12-31,1.923
2014-12-31,6.114
2015-12-31,5.954
2016-12-31,1.263
2017-12-31,2.202
2018-12-31,3.623
2019-12-31,1.442
2020-12-31,4.544
2021-12-31,7.111
