,TPWR IN Equity
,GHG_SCOPE_1
2011-03-31,11162.0
2013-03-31,25024.4
2014-03-31,34296.398
2015-03-31,35267.801
2016-03-31,36334.699
2017-03-31,36754.898
2018-03-31,35723.398
2019-03-31,36053.898
2020-03-31,34953.0
2021-03-31,34500.0
2022-03-31,27330.0
