,ASX AU Equity
,GHG_SCOPE_1
2012-06-30,0.251
2013-06-30,0.297
2014-06-30,0.1
2015-06-30,0.03
2016-06-30,0.011
2017-06-30,0.048
2018-06-30,0.052
2019-06-30,0.03
2020-06-30,0.03
2021-06-30,0.022
2022-06-30,0.034
