,STH SP Equity
,GHG_SCOPE_1
2011-12-31,2.852
2012-12-31,0.762
2013-12-31,1.042
2014-12-31,1.181
2015-12-31,1.932
2016-12-31,0.561
2017-12-31,0.487
2018-12-31,2.238
2019-12-31,1.688
2020-12-31,2.103
2021-12-31,1.356
