,ANZDA AU Equity
,GHG_SCOPE_1
2011-09-30,15.328
2012-09-30,15.843
2013-09-30,16.038
2014-09-30,17.611
2015-09-30,22.688
2016-09-30,21.122
2017-09-30,19.024
2018-09-30,17.97
2019-09-30,16.249
2020-09-30,11.762
2021-09-30,6.424
2022-09-30,5.819
