,SCC TB Equity
,GHG_SCOPE_1
2011-12-31,20730.0
2012-12-31,21960.0
2013-12-31,21510.0
2014-12-31,22150.0
2015-12-31,22640.0
2016-12-31,21510.0
2017-12-31,21150.0
2018-12-31,22100.0
2019-12-31,21590.0
2020-12-31,30680.0
2021-12-31,29820.0
