,ASTRO MK Equity
,GHG_SCOPE_1
2014-01-31,0.906
2015-01-31,1.043
2016-01-31,1.273
2017-01-31,1.375
2018-01-31,1.177
2019-01-31,0.751
2020-01-31,1.146
2021-01-31,0.538
2022-01-31,1.013
