,009150 KS Equity
,GHG_SCOPE_1
2011-12-31,67.971
2012-12-31,66.629
2013-12-31,64.291
2014-12-31,62.229
2015-12-31,68.725
2016-12-31,64.571
2017-12-31,59.513
2018-12-31,66.138
2019-12-31,76.506
2020-12-31,79.24
2021-12-31,113.118
