,004000 KS Equity
,GHG_SCOPE_1
2013-12-31,71.997
2014-12-31,93.837
2015-12-31,114.306
2016-12-31,71.508
2017-12-31,100.713
2018-12-31,78.073
2019-12-31,84.304
2020-12-31,57.506
2021-12-31,65.022
