,OLG SP Equity
,GHG_SCOPE_1
2013-06-30,2300.0
2014-12-31,1800.0
2015-12-31,2090.0
2016-12-31,1370.0
2017-12-31,1550.0
2018-12-31,1696.0
2019-12-31,1977.0
2020-12-31,2911.0
2021-12-31,2675.0
