,WDS AU Equity
,GHG_SCOPE_1
2013-12-31,9184.0
2014-12-31,9822.0
2015-12-31,9974.0
2016-12-31,10084.0
2017-12-31,9883.0
2018-12-31,9767.0
2019-12-31,8840.0
2020-12-31,9170.0
2021-12-31,8901.0
