,MRCO IN Equity
,GHG_SCOPE_1
2013-03-31,14.2
2014-03-31,5.351
2015-03-31,3.75
2016-03-31,3.182
2017-03-31,2.762
2018-03-31,3.094
2019-03-31,2.894
2020-03-31,1.38
2021-03-31,0.472
2022-03-31,0.622
