,1609 TT Equity
,GHG_SCOPE_1
2011-12-31,4.227
2012-12-31,3.714
2013-12-31,3.419
2014-12-31,3.803
2015-12-31,3.565
2017-12-31,3.927
2018-12-31,13.302
2019-12-31,12.948
2020-12-31,17.444
2021-12-31,16.864
