,1972 HK Equity
,GHG_SCOPE_1
2012-12-31,2.71
2013-12-31,1.8
2014-12-31,9.355
2015-12-31,5.978
2016-12-31,13.465
2017-12-31,10.793
2018-12-31,10.269
2019-12-31,12.244
2020-12-31,12.127
2021-12-31,11.256
