,016360 KS Equity
,GHG_SCOPE_1
2011-03-31,0.748
2012-03-31,0.876
2013-03-31,0.762
2014-12-31,0.635
2015-12-31,0.595
2016-12-31,0.589
2017-12-31,0.866
2018-12-31,0.848
2019-12-31,0.71
2020-12-31,0.654
2021-12-31,0.622
