,WPRO IN Equity
,GHG_SCOPE_1
2011-03-31,31.893
2012-03-31,36.31
2013-03-31,53.219
2014-03-31,39.33
2015-03-31,41.235
2016-03-31,44.356
2017-03-31,26.177
2018-03-31,16.046
2019-03-31,13.424
2020-03-31,13.366
2021-03-31,10.885
2022-03-31,9.571
