,WOW AU Equity
,GHG_SCOPE_1
2011-06-26,368.378
2012-06-24,354.378
2013-06-30,512.855
2014-06-29,498.03
2015-06-28,524.459
2016-06-26,1301.51
2017-06-25,661.521
2018-06-24,654.032
2019-06-30,553.801
2020-06-28,460.765
2021-06-27,398.036
2022-06-26,85.146
