,PTT TB Equity
,GHG_SCOPE_1
2011-12-31,12630.0
2012-12-31,32424.5
2013-12-31,31822.6
2014-12-31,31776.5
2015-12-31,31116.0
2016-12-31,29980.0
2017-12-31,30160.0
2018-12-31,29240.0
2019-12-31,29938.699
2020-12-31,28971.199
2021-12-31,31729.801
