,101 HK Equity
,GHG_SCOPE_1
2013-12-31,0.49
2014-12-31,2.414
2015-12-31,0.968
2016-12-31,2.285
2017-12-31,5.0
2018-12-31,3.104
2019-12-31,6.237
2020-12-31,3.151
2021-12-31,2.635
