,PDN AU Equity
,GHG_SCOPE_1
2012-06-30,123.379
2013-06-30,142.152
2014-06-30,118.917
2015-06-30,82.182
2016-06-30,90.687
2017-06-30,67.14
2018-06-30,50.331
2019-06-30,47.895
2022-06-30,0.15
