,4634 JP Equity
,GHG_SCOPE_1
2013-03-31,53.174
2014-03-31,51.508
2015-03-31,51.192
2016-03-31,50.016
2017-03-31,49.685
2018-12-31,51.064
2019-12-31,47.837
2020-12-31,46.328
2021-12-31,48.3
