,024110 KS Equity
,GHG_SCOPE_1
2011-12-31,11.0
2012-12-31,9.117
2015-12-31,11.212
2016-12-31,11.8
2017-12-31,11.443
2018-12-31,12.497
2019-12-31,11.384
2020-12-31,9.483
2021-12-31,8.076
