,066570 KS Equity
,GHG_SCOPE_1
2011-12-31,442.0
2012-12-31,409.0
2013-12-31,379.0
2014-12-31,395.0
2015-12-31,412.0
2016-12-31,341.0
2017-12-31,1105.0
2018-12-31,785.0
2019-12-31,603.0
2020-12-31,440.0
2021-12-31,333.0
