,TU TB Equity
,GHG_SCOPE_1
2012-12-31,142.757
2013-12-31,135.926
2014-12-31,314.445
2015-12-31,384.966
2016-12-31,423.268
2017-12-31,367.004
2018-12-31,369.887
2019-12-31,337.333
2020-12-31,311.433
2021-12-31,323.492
