,ADVANC TB Equity
,GHG_SCOPE_1
2013-12-31,6.572
2014-12-31,7.239
2015-12-31,7.377
2016-12-31,11.438
2017-12-31,11.431
2018-12-31,10.687
2019-12-31,11.177
2020-12-31,11.196
2021-12-31,8.931
