,DRRD IN Equity
,GHG_SCOPE_1
2014-03-31,160.953
2015-03-31,177.841
2016-03-31,135.14
2017-03-31,154.808
2018-03-31,298.791
2019-03-31,364.283
2020-03-31,330.207
2021-03-31,349.974
2022-03-31,302.466
