,IPL AU Equity
,GHG_SCOPE_1
2011-09-30,1900.0
2012-09-30,2000.0
2013-09-30,2400.0
2014-09-30,2200.0
2015-09-30,2400.0
2016-09-30,2400.0
2017-09-30,2749.85
2018-09-30,3423.87
2019-09-30,3080.35
2020-09-30,3319.42
2021-09-30,3112.18
