,MAND SP Equity
,GHG_SCOPE_1
2012-12-31,23.55
2013-12-31,22.35
2014-12-31,20.784
2015-12-31,22.53
2016-12-31,22.588
2017-12-31,22.869
2018-12-31,21.657
2019-12-31,21.463
2020-12-31,16.64
2021-12-31,19.737
