,TLS AU Equity
,GHG_SCOPE_1
2011-06-30,55.083
2012-06-30,53.587
2013-06-30,53.645
2014-06-30,52.537
2015-06-30,52.003
2016-06-30,50.628
2017-06-30,52.68
2018-06-30,50.037
2019-06-30,47.204
2020-06-30,36.905
2021-06-30,33.085
2022-06-30,31.869
