,DOW AU Equity
,GHG_SCOPE_1
2011-06-30,309.49
2012-06-30,203.0
2013-06-30,219.76
2014-06-30,219.26
2015-06-30,220.6
2016-06-30,218.9
2017-06-30,224.7
2018-06-30,334.7
2019-06-30,370.8
2020-06-30,476.67
2021-06-30,414.37
2022-06-30,325.6
