,035250 KS Equity
,GHG_SCOPE_1
2012-12-31,31.555
2013-12-31,30.992
2014-12-31,27.976
2015-12-31,26.234
2016-12-31,25.084
2017-12-31,23.757
2018-12-31,27.03
2019-12-31,30.664
2020-12-31,19.641
2021-12-31,21.85
