,PTTEP TB Equity
,GHG_SCOPE_1
2011-12-31,2750.0
2012-12-31,4431.14
2013-12-31,4459.04
2014-12-31,5122.07
2015-12-31,4255.63
2016-12-31,4631.49
2017-12-31,4644.87
2018-12-31,4127.62
2019-12-31,3914.23
2020-12-31,5387.74
2021-12-31,5147.77
