,2018 HK Equity
,GHG_SCOPE_1
2013-12-31,10.586
2014-12-31,11.402
2015-12-31,13.259
2016-12-31,17.515
2017-12-31,4.51
2018-12-31,4.277
2019-12-31,1.994
2020-12-31,6.053
2021-12-31,8.016
