,9907 TT Equity
,GHG_SCOPE_1
2012-12-31,75.268
2013-12-31,31.994
2014-12-31,59.209
2015-12-31,53.287
2016-12-31,48.309
2017-12-31,47.446
2018-12-31,45.507
2019-12-31,39.883
2020-12-31,40.269
2021-12-31,46.157
