,7751 JP Equity
,GHG_SCOPE_1
2011-12-31,184.63
2012-12-31,145.283
2013-12-31,172.958
2014-12-31,176.878
2015-12-31,169.974
2016-12-31,165.0
2017-12-31,174.0
2018-12-31,160.4
2019-12-31,151.5
2020-12-31,123.1
2021-12-31,114.435
