,5871 TT Equity
,GHG_SCOPE_1
2013-12-31,0.195
2014-12-31,0.311
2015-12-31,1.038
2016-12-31,1.089
2017-12-31,3.988
2018-12-31,6.001
2019-12-31,3.725
2020-12-31,3.906
2021-12-31,7.646
