,000810 KS Equity
,GHG_SCOPE_1
2011-03-31,8.329
2012-03-31,9.073
2013-03-31,6.851
2014-12-31,5.316
2015-12-31,5.654
2016-12-31,5.629
2017-12-31,5.432
2018-12-31,5.351
2019-12-31,4.804
2020-12-31,4.003
2021-12-31,3.016
