,HCC IN Equity
,GHG_SCOPE_1
2011-03-31,21550.0
2012-03-31,10461.0
2013-03-31,3549.94
2014-03-31,79.929
2015-03-31,45.282
2016-03-31,47.697
2017-03-31,41.492
2018-03-31,46.989
2019-03-31,22.74
2020-03-31,29.767
2021-03-31,30.932
