,2884 TT Equity
,GHG_SCOPE_1
2013-12-31,1.74
2014-12-31,1.956
2015-12-31,1.161
2016-12-31,2.392
2017-12-31,2.639
2018-12-31,2.516
2019-12-31,2.454
2020-12-31,2.399
2021-12-31,1.857
