,006800 KS Equity
,GHG_SCOPE_1
2011-03-31,0.749
2012-03-31,1.272
2013-03-31,1.113
2014-12-31,0.736
2015-12-31,0.578
2016-12-31,0.719
2017-12-31,1.075
2018-12-31,1.033
2019-12-31,0.904
2020-12-31,0.979
2021-12-31,0.942
