,3532 TT Equity
,GHG_SCOPE_1
2013-12-31,5.035
2014-12-31,5.22
2015-12-31,5.209
2016-12-31,4.862
2017-12-31,5.38
2018-12-31,5.523
2019-12-31,5.757
2020-12-31,6.209
2021-12-31,6.303
