,AXIATA MK Equity
,GHG_SCOPE_1
2013-12-31,257.236
2014-12-31,45.949
2015-12-31,83.5
2016-12-31,65.756
2017-12-31,53.852
2018-12-31,83.13
2019-12-31,106.676
2020-12-31,102.548
2021-12-31,74.017
