,YES IN Equity
,GHG_SCOPE_1
2013-03-31,0.922
2014-03-31,0.718
2015-03-31,1.046
2016-03-31,1.636
2017-03-31,2.291
2018-03-31,2.98
2019-03-31,3.078
2020-03-31,3.445
2021-03-31,3.138
2022-03-31,3.217
