,010950 KS Equity
,GHG_SCOPE_1
2011-12-31,7269.0
2012-12-31,7038.0
2013-12-31,6399.0
2014-12-31,6406.0
2015-12-31,6380.0
2016-12-31,6537.0
2017-12-31,6550.0
2018-12-31,7150.0
2019-12-31,7292.0
2020-12-31,7362.0
2021-12-31,7709.0
