,OZL AU Equity
,GHG_SCOPE_1
2011-12-31,146.422
2012-12-31,183.983
2013-12-31,204.959
2014-12-31,231.389
2015-12-31,180.29
2016-12-31,142.669
2017-12-31,105.648
2018-12-31,85.258
2019-12-31,77.271
2020-12-31,85.555
2021-12-31,94.72
