,45 HK Equity
,GHG_SCOPE_1
2011-12-31,22.0
2012-12-31,25.0
2013-12-31,22.0
2014-12-31,23.0
2015-12-31,22.0
2016-12-31,23.0
2017-12-31,21.0
2018-12-31,23.0
2019-12-31,21.0
2020-12-31,12.0
2021-12-31,15.0
