,STO AU Equity
,GHG_SCOPE_1
2011-12-31,3579.41
2012-12-31,3807.77
2013-12-31,3680.0
2014-12-31,3940.0
2015-12-31,4350.0
2016-12-31,5040.0
2017-12-31,5820.0
2018-12-31,5490.0
2019-12-31,5830.0
2020-12-31,7740.0
2021-12-31,8670.0
