,JKH SL Equity
,GHG_SCOPE_1
2011-03-31,14.202
2012-03-31,16.919
2013-03-31,17.381
2014-03-31,17.829
2015-03-31,16.32
2016-03-31,15.699
2017-03-31,16.134
2018-03-31,27.532
2019-03-31,27.507
2020-03-31,22.244
2021-03-31,15.894
2022-03-31,27.507
