,BHP AU Equity
,GHG_SCOPE_1
2011-06-30,19800.0
2012-06-30,20200.0
2013-06-30,22000.0
2014-06-30,22700.0
2015-06-30,20700.0
2016-06-30,11300.0
2017-06-30,10500.0
2018-06-30,10600.0
2019-06-30,9724.0
2020-06-30,9500.0
2021-06-30,10000.0
2022-06-30,9200.0
