,2503 JP Equity
,GHG_SCOPE_1
2013-12-31,484.0
2014-12-31,478.0
2015-12-31,480.0
2016-12-31,494.0
2017-12-31,406.0
2018-12-31,412.0
2019-12-31,411.0
2020-12-31,398.216
2021-12-31,368.0
