,ITMG IJ Equity
,GHG_SCOPE_1
2013-12-31,1176.2
2014-12-31,1175.64
2015-12-31,892.641
2016-12-31,810.563
2017-12-31,918.734
2018-12-31,1459.9
2019-12-31,981.411
2020-12-31,899.539
2021-12-31,1724.9
