,052690 KS Equity
,GHG_SCOPE_1
2011-12-31,0.828
2012-12-31,0.754
2013-12-31,0.743
2014-12-31,0.686
2015-12-31,0.814
2016-12-31,0.945
2017-12-31,0.935
2018-12-31,0.938
2019-12-31,0.961
2020-12-31,0.727
2021-12-31,0.724
