,2206 TT Equity
,GHG_SCOPE_1
2013-12-31,8.646
2014-12-31,9.146
2015-12-31,8.195
2016-12-31,10.04
2017-12-31,10.194
2018-12-31,9.852
2019-12-31,9.547
2020-12-31,10.247
2021-12-31,10.69
