,086790 KS Equity
,GHG_SCOPE_1
2011-12-31,2.542
2012-12-31,2.432
2013-12-31,2.65
2014-12-31,2.583
2015-12-31,1.947
2016-12-31,8.624
2017-12-31,9.442
2018-12-31,9.579
2019-12-31,8.932
2020-12-31,7.971
2021-12-31,7.454
