,FMG AU Equity
,GHG_SCOPE_1
2011-06-30,601.533
2012-06-30,1062.11
2013-06-30,1900.0
2014-06-30,1500.0
2015-06-30,1500.0
2016-06-30,1400.0
2018-06-30,1460.0
2019-06-30,1690.0
2020-06-30,1930.0
2021-06-30,2060.0
2022-06-30,2220.0
