,JSTL IN Equity
,GHG_SCOPE_1
2011-03-31,15542.0
2012-03-31,21856.301
2013-03-31,28614.5
2014-03-31,31509.699
2015-03-31,27151.0
2016-03-31,35989.0
2017-03-31,42296.801
2018-03-31,41528.0
2019-03-31,41938.398
2020-03-31,40045.301
2022-03-31,41643.102
