,HAVL IN Equity
,GHG_SCOPE_1
2013-03-31,8.944
2014-03-31,7.627
2015-03-31,8.65
2016-03-31,8.905
2017-03-31,8.089
2018-03-31,6.3
2019-03-31,7.339
2020-03-31,6.886
2021-03-31,7.384
2022-03-31,8.591
