,2882 TT Equity
,GHG_SCOPE_1
2012-12-31,0.93
2013-12-31,0.884
2014-12-31,1.056
2015-12-31,1.175
2016-12-31,3.613
2017-12-31,3.092
2018-12-31,3.272
2019-12-31,3.438
2020-12-31,3.816
2021-12-31,4.105
